country_name,country_code,year,exports_usd,port_teu,lsc_index,has_exports,has_port_traffic,has_lsc,complete_case,exports_log,port_teu_log,exports_tier,port_tier,lsc_tier
Zimbabwe,ZWE,2016,3335000000.0,,,True,False,False,False,9.523095838252567,,Medium,,
Afghanistan,AFG,2017,723000000.0,,,True,False,False,False,8.85913829729453,,Low,,
Albania,ALB,2017,2292000000.0,118270.0,16.1575,True,True,True,True,9.360214613295353,5.072874596810989,Medium,Low,Low
Algeria,DZA,2017,35191000000.0,1725198.0,70.2525,True,True,True,True,10.546431608077343,6.236838946002162,High,High,Medium
American Samoa,ASM,2017,397000000.0,92270.0,25.5,True,True,True,True,8.598790506763114,4.965060520611199,Low,Low,Low
Andorra,AND,2017,118000000.0,,,True,False,False,False,8.071882007306126,,Low,,
Angola,AGO,2017,34613000000.0,683548.0,71.3725,True,True,True,True,10.53923924237364,5.834769016933376,High,Medium,Medium
Antigua and Barbuda,ATG,2017,21000000.0,17311.0,17.28,True,True,True,True,7.3222192947339195,4.238322156375554,Low,Low,Low
Argentina,ARG,2017,58644000000.0,1809153.0,104.2275,True,True,True,True,10.768223585075797,6.257475296680676,High,High,High
Armenia,ARM,2017,2245000000.0,,,True,False,False,False,9.351216345339342,,Medium,,
Aruba,ABW,2017,135000000.0,31689.0,25.555,True,True,True,True,8.130333768495007,4.5009085345095095,Low,Low,Low
Australia,AUS,2017,231131000000.0,7991508.0,145.995,True,True,True,True,11.363858198296247,6.902628738548458,High,High,High
Austria,AUT,2017,168026000000.0,285900.0,,True,True,False,False,11.225376488766699,5.456214155357989,High,Medium,
Azerbaijan,AZE,2017,15481000000.0,,,True,False,False,False,10.189799010639826,,Medium,,
"Bahamas, The",BHS,2017,473000000.0,920652.0,76.5075,True,True,True,True,8.674861140737812,5.964095500946045,Low,Medium,Medium
Bahrain,BHR,2017,15376000000.0,400307.0,47.7125,True,True,True,True,10.18684337032447,5.602393184496294,Medium,Medium,Medium
Bangladesh,BGD,2017,35851000000.0,2583549.0,57.51,True,True,True,True,10.554501274046356,6.412216702857801,High,High,Medium
Barbados,BRB,2017,485000000.0,107098.0,38.1575,True,True,True,True,8.685741738602264,5.029781360681771,Low,Low,Medium
Belarus,BLR,2017,29267000000.0,,,True,False,False,False,10.466378207564672,,High,,
Belgium,BEL,2017,429645000000.0,10783850.0,396.1625,True,True,True,True,11.63310976204949,7.032773838332069,High,High,High
Belize,BLZ,2017,457000000.0,44381.0,28.975,True,True,True,True,8.65991620006985,4.647197083601016,Low,Low,Low
