country_name,country_code,year,exports_usd,port_teu,lsc_index,has_exports,has_port_traffic,has_lsc
Paraguay,PRY,2016,8494000000.0,38430.0,4.45,True,True,True
Peru,PER,2016,36516000000.0,2321062.0,110.31,True,True,True
Philippines,PHL,2016,56313000000.0,7560607.0,166.455,True,True,True
Poland,POL,2016,203817000000.0,2032761.0,102.585,True,True,True
Portugal,PRT,2016,55372000000.0,2912946.0,156.89249999999998,True,True,True
Puerto Rico (US),PRI,2016,,1210500.0,,False,True,False
Qatar,QAT,2016,57309000000.0,527952.0,39.78,True,True,True
Romania,ROU,2016,63534000000.0,711339.0,67.2025,True,True,True
Russian Federation,RUS,2016,281710000000.0,3472382.0,212.465,True,True,True
Rwanda,RWA,2016,731000000.0,,,True,False,False
Samoa,WSM,2016,56000000.0,34588.0,27.4275,True,True,True
San Marino,SMR,2016,,,,False,False,False
Sao Tome and Principe,STP,2016,14000000.0,67523.29,14.9375,True,True,True
Saudi Arabia,SAU,2016,183579000000.0,7683202.0,194.4375,True,True,True
Senegal,SEN,2016,2640000000.0,540000.0,56.97,True,True,True
Serbia,SRB,2016,14874000000.0,,,True,False,False
Seychelles,SYC,2016,460000000.0,132214.6,24.885,True,True,True
Sierra Leone,SLE,2016,624000000.0,89063.0,23.95,True,True,True
Singapore,SGP,2016,330481000000.0,30903600.0,549.105,True,True,True
Sint Maarten (Dutch part),SXM,2016,132000000.0,97991.0,43.025,True,True,True
Slovak Republic,SVK,2016,77060000000.0,,,True,False,False
Slovenia,SVN,2016,32917000000.0,844000.0,73.5625,True,True,True
Solomon Islands,SLB,2016,437000000.0,181636.1,32.8975,True,True,True
"Somalia, Fed. Rep.",SOM,2016,615000000.0,104800.4,25.3875,True,True,True
South Africa,ZAF,2016,76214000000.0,4354666.0,127.7125,True,True,True
South Sudan,SSD,2016,,,,False,False,False
Spain,ESP,2016,289981000000.0,15073218.0,393.22,True,True,True
Sri Lanka,LKA,2016,10310000000.0,5734000.0,212.8475,True,True,True
St. Kitts and Nevis,KNA,2016,51000000.0,13216.0,22.7375,True,True,True
St. Lucia,LCA,2016,120000000.0,38383.0,26.7225,True,True,True
St. Martin (French part),MAF,2016,132000000.0,,,True,False,False
St. Vincent and the Grenadines,VCT,2016,47000000.0,18236.0,32.7825,True,True,True
Sudan,SDN,2016,3094000000.0,465355.0,37.8275,True,True,True
